방류기간,기관,품종,방류구분,방류물량1,단위,방류물량2,단위,사업비-국비(천원),사업비-지방비-광역시비(천원),사업비-지방비-도비(천원),사업비-지방비-구비(천원),사업비-지방비-시군구(천원),사업비-지방비-기타(천원),사업비-지방비-소계(천원),사업비-민간(천원),사업비-자담(천원),사업비-총액(천원),계약단가(원),기초단가(공고단가)(원),크기(cm 이상),체중(gram),사업구분,사업명,담당자,전화번호,방류장소명,업체명,사업자번호,대표자,업체주소,비고
2023-01-01 ~ 2023-12-31,한국수산자원공단 서해본부,점농어,매입방류,177040,마리,0,,0,0,21568,0,86272,0,107840,0,0,107840,609.13,684,전장 6~12,,지자체사업/수산종자관리사업,수산종자매입방류,김라린,063-440-2662,경기도 안산시 단원구 대부동 275-8,보성수산,503-96-15835,황숙희,경기도 화성시 서신면 제부로350-12,
2023-01-01 ~ 2023-12-31,한국수산자원공단 서해본부,쥐노래미,매입방류,69687,마리,0,,0,0,19930,0,79722,0,99652,0,0,99652,1430,1436,전장 6~10,,지자체사업/수산종자관리사업,수산종자매입방류,김라린,063-440-2662,경기도 안산시 단원구 대부동 398,경양,226-90-79129,김미순,강원특별자치도 강릉시 해안로 689-21,
2023-01-01 ~ 2023-12-31,한국수산자원공단 서해본부,조피볼락,매입방류,645497,마리,0,,0,0,129099,0,516398,0,645497,0,0,645497,230.83,269,전장 6~,,지자체사업/수산종자관리사업,수산종자매입방류,김라린,063-440-2662,경기도 안산시 단원구 대부동 산288,신일수산,703-96-00849,홍두환,경기도 화성시 서신면 화남공단로10-1,
2023-01-01 ~ 2023-12-31,한국수산자원공단 서해본부,꽃게,매입방류,269059,마리,0,,0,0,12000,0,48000,0,60000,0,0,60000,223,230,갑폭 1~,,지자체사업/수산종자관리사업,수산종자매입방류,김라린,063-440-2662,경기도 안산시 단원구 대부동 산288,보성수산,503-96-15835,황숙희,경기고 화성시 서신면 제부로350-12,
2023-01-01 ~ 2023-12-31,한국수산자원공단 서해본부,꽃게,매입방류,1766059,마리,0,,120568,0,0,0,204800,0,204800,0,0,325368,186.38,189,1,,"국비사업(자율관리, 해양보호구역 등)",2023년 태안군 꽃게 산란서식장 조성사업,강승우,063-440-2677,대한민국,,--,,,
2023-01-01 ~ 2023-12-31,전북특별자치도 김제시,동자개,매입방류,252100,마리,0,,0,0,48000,0,12000,0,60000,0,0,60000,238,270,,,지자체사업/수산종자관리사업,수산종자매입방류,김지선,063-540-3181,전북특별자치도 김제시 백산면 하정리 500,,--,,,동자개 치어 방류
2023-05-01 ~ 2023-05-01,전북특별자치도 김제시,뱀장어,매입방류,32142,마리,0,,0,0,144000,0,36000,0,180000,0,0,180000,5600,6000,,,지자체사업/수산종자관리사업,수산종자매입방류,김지선,063-540-3181,전북특별자치도 김제시 백산면 하정리 500,,,,,뱀장어 치어 방류
2023-05-02 ~ 2023-05-02,전북특별자치도 김제시,잉어,매입방류,338983,마리,0,,0,0,32000,0,8000,0,40000,0,0,40000,118,128,,,지자체사업/수산종자관리사업,수산종자매입방류,김지선,063-540-3181,전북특별자치도 김제시 신풍동 614-2,,,,,잉어 치어 방류
2023-05-03 ~ 2023-05-03,전북특별자치도 김제시,붕어,매입방류,344827,마리,0,,0,0,32000,0,8000,0,40000,0,0,40000,116,131,,,지자체사업/수산종자관리사업,수산종자매입방류,김지선,063-540-3181,전북특별자치도 김제시 부량면 용성리 184-2,,,,,븡어 치어 방류
2023-05-19 ~ 2023-05-19,전북특별자치도 김제시,메기,매입방류,312500,마리,0,,0,0,32000,0,8000,0,40000,0,0,40000,128,146,,,지자체사업/수산종자관리사업,수산종자매입방류,김지선,063-540-3181,전북특별자치도 김제시 만경읍 장산리 산148-2,,,,,메기 치어 방류
2023-05-22 ~ 2023-05-22,전북특별자치도 김제시,자라,매입방류,8264,마리,0,,0,0,32000,0,8000,0,40000,0,0,40000,4840,5500,,,지자체사업/수산종자관리사업,수산종자매입방류,김지선,063-540-3181,전북특별자치도 김제시 청하면 동지산리 414-2,,,,,자라 치어 방류
2023-12-07 ~ 2023-12-07,부산광역시 기장군,전복,매입방류,77000,마리,0,,30000,12000,0,0,12000,0,24000,0,6000,60000,780,780,각장 4,6~11.8,"국비사업(자율관리, 해양보호구역 등)",2023년 자율관리어업 육성사업 수산종자 방류,김성민,051-709-4522,부산광역시 기장군 기장읍 연화리,,--,,,"전복종자 약 77,000미(4cm 이상) 매입 및 방류"
2023-01-01 ~ 2023-12-31,전라남도 해양수산과학원,다슬기,생산방류,600000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,각장 0.7,0.5~0.7,지자체사업/수산종자관리사업,기타,지현일,061-781-3665,전라남도 곡성군 죽곡면 섬진강로 1010,,--,,,"위의 좌표는 곡성 압록유원지(30만) 이며 , 추가로 구례 문척 동해마을에 30만 방류"
2023-01-01 ~ 2023-12-31,전라남도 해양수산과학원,황어,생산방류,500000,마리,0,,0,0,77388,0,0,0,77388,0,0,77388,0,0,3,,지자체사업/수산종자관리사업,기타,지현일,061-781-3665,전라남도 구례군 간전면 양천리 881-14,,--,,,"위의 예산은 다슬기 및 황어 종자생산,  섬진강수계조사 등이 포함된 예산임."
2023-01-01 ~ 2023-12-31,전라남도 해양수산과학원,연어,생산방류,500000,마리,0,,0,0,44500,0,0,0,44500,0,0,44500,0,0,전장 5,,지자체사업/수산종자관리사업,기타,지현일,061-781-3665,전라남도 구례군 간전면 양천리 881-14,,--,,,
2023-09-18 ~ 2023-09-18,전라남도 광양시,잉어,매입방류,69166,마리,0,,0,0,0,0,8300,0,8300,0,0,8300,116,120,,,지자체사업/수산종자관리사업,수산종자매입방류,서승지,061-797-3438,전라남도 광양시 다압면 신원리 194,,,,,
2023-03-21 ~ 2023-03-21,전라남도 광양시,은어,매입방류,72174,마리,0,,0,0,0,0,16600,0,16600,0,0,16600,223,230,,,지자체사업/수산종자관리사업,수산종자매입방류,서승지,061-797-3438,전라남도 광양시 다압면 신원리 194,,,,,
2023-05-30 ~ 2023-05-30,전라남도 광양시,메기,매입방류,138333,마리,0,,0,0,0,0,16600,0,16600,0,0,16600,116,120,,,지자체사업/수산종자관리사업,수산종자매입방류,서승지,061-797-3438,전라남도 광양시 다압면 신원리 194,,,,,
2023-09-18 ~ 2023-09-18,전라남도 광양시,붕어,매입방류,69166,마리,0,,0,0,0,0,8300,0,8300,0,0,8300,116,120,,,지자체사업/수산종자관리사업,수산종자매입방류,서승지,061-797-3438,전라남도 광양시 다압면 신원리 194,,,,,
2023-09-14 ~ 2023-09-14,전라남도 광양시,재첩,매입방류,7912,마리,0,,0,0,0,0,27692,0,27692,0,0,27692,3880,4000,,,지자체사업/수산종자관리사업,수산종자매입방류,서승지,061-797-3438,전라남도 광양시 다압면 신원리 194,,,,,
2023-01-01 ~ 2023-12-31,제주특별자치도,오분자기,매입방류,400000,마리,0,,0,356573,0,0,0,0,356573,0,0,356573,893.66,930.99,,,지자체사업/수산종자관리사업,지자체사업/수산종자관리사업,양웅규,064-710-3992,제주특별자치도 서귀포시 하모항구로 56 성안횟집,,--,,,
2023-01-01 ~ 2023-12-31,제주특별자치도,전복,매입방류,860000,마리,0,,0,785873,0,0,0,0,785873,0,0,785873,914.92,979.5,,,지자체사업/수산종자관리사업,수산종자매입방류,양웅규,064-710-3992,제주특별자치도 서귀포시 대륜동 163-8,,--,,,
2023-01-01 ~ 2023-12-31,제주특별자치도,홍해삼,매입방류,945000,마리,3308,kg,0,876565,0,0,0,0,876565,0,0,876565,927,980.87,,,지자체사업/수산종자관리사업,수산종자매입방류,양웅규,064-710-3992,제주특별자치도 제주시 금능7길 22 금능어촌계복지회관,,--,,,
2023-01-01 ~ 2023-12-31,전북특별자치도 고창군,꽃게,매입방류,2066000,마리,0,,0,0,400000,0,0,0,400000,0,0,400000,193,220,,,지자체사업/수산종자관리사업,지자체사업/수산종자관리사업,채인순,063-560-2646,전북특별자치도 고창군 상하면 자룡리,,--,,,
2023-01-01 ~ 2023-12-31,전북특별자치도 순창군,다슬기,매입방류,800000,마리,0,,0,0,13460,0,3365,0,16825,0,0,16825,21,25,각장 0.07,,지자체사업/수산종자관리사업,수산종자매입방류,김건영,063-650-5651,전북특별자치도 순창군 유등면 오교리 587-9,청정장수다슬기양식장,--,,,
2023-06-01 ~ 2023-06-30,경상남도 창원시,붕어,매입방류,115000,마리,0,,0,0,0,0,20000,0,20000,0,0,20000,174,174,,,지자체사업/수산종자관리사업,수산종자매입방류,임지현,055-225-3414,경상남도 창원시 의창구 동읍 월잠리 3,,,,,수산종자 방류
2023-09-07 ~ 2023-09-07,경상남도 창원시,문치가자미,매입방류,71000,마리,0,,34500,0,10350,0,24150,0,34500,0,0,69000,971.8,971.8,,,"국비사업(자율관리, 해양보호구역 등)",문치가자미 산란서식장 조성사업,임지현,055-225-3414,대한민국,,,,,문치가자미 산란서식장 조성사업
2023-01-01 ~ 2023-01-16,경상남도 창원시,대구 (수정란),생산방류,9786000,마리,0,,0,0,5660,0,13208,0,18868,0,23190,42058,0,0,,,지자체사업/수산종자관리사업,대구수정란 방류,임지현,055-225-3414,대한민국,,,,,대구수정란 방류사업
2023-01-01 ~ 2023-12-31,충청남도 예산군,뱀장어,매입방류,9812,마리,0,,0,0,15930,0,37170,0,53100,0,0,53100,5412,5412,10,3~12.9,기타 지자체사업,우량치어매입방류사업,김진성,041-339-7638,충청남도 예산군 광시면 장전리 642,예산양만장,--,이석웅,,건강하고 우량한 뱀장어 방류(어업인 선호 어종)
2023-01-01 ~ 2023-12-31,충청남도 예산군,메기,매입방류,342308,마리,0,,0,0,40050,0,4450,0,44500,0,0,44500,130,130,전장 6,8.3~8.9,지자체사업/수산종자관리사업,수산종자매입방류,김진성,041-339-7638,충청남도 예산군 광시면 장전리 8,153수산,--,김옥선,,"건강하고 우량한 메기를 방사하여 외래어종인 배스,블루길 퇴치에 도움을 주고자함"
2023-01-01 ~ 2023-12-31,충청남도 예산군,붕어,매입방류,462963,마리,0,,0,0,45000,0,5000,0,50000,0,0,50000,108,108,7,1.7~5.5,지자체사업/수산종자관리사업,수산종자매입방류,김진성,041-339-7638,충청남도 예산군 대흥면 예당긍모로 405-1,성진수산,--,김해연,충청남도 당진시 정미면 도산리 125-4 ,건강하고 우량한 붕어 치어 방류
2023-01-01 ~ 2023-12-31,경기도 여주시,다슬기,매입방류,1900000,마리,0,,0,0,19000,0,19000,0,38000,0,0,38000,20,20,각장 0.7,0.06~0.08,기타 지자체사업,2023년 수산자원조성사업,손재호,031-887-2321,경기도 여주시 세종대왕면 왕대리 365-12,효남수산,132-90-40917,엄수성,가평군 청평면 경춘로 1160,"여주시 관내 남한강(이포보, 여주보, 강천보)일원에 다슬기 1,900,000마리(38,000천원) 방류"
2023-01-01 ~ 2023-12-31,경기도 여주시,대농갱이,매입방류,133333,마리,0,,0,0,22000,0,22000,0,44000,0,0,44000,330,330,전장 10,0.8~1,기타 지자체사업,2023년 수산자원조성사업,손재호,031-887-2321,경기도 여주시 세종대왕면 왕대리 365-12,정일수산,126-91-30333,정찬섭,여주시 북내면 신접2길 25,"여주시 관내 남한강(이포보, 여주보, 강천보)일원에 대농갱이 133,333마리(44,000천원) 방류"
2023-01-01 ~ 2023-12-31,경기도 여주시,쏘가리,매입방류,22000,마리,0,,0,0,11000,0,11000,0,22000,0,0,22000,1000,1000,전장 10,0.8~1,기타 지자체사업,2023년 수산자원조성사업,손재호,031-887-2321,경기도 여주시 세종대왕면 왕대리 365-12,대평양어장,132-90-50171,하재일,양평군 지평면 대평신론길 87-1,"여주시 관내 남한강(이포보, 여주보, 강천보)일원에 쏘가리 22,000마리(22,000천원) 방류"
2023-01-01 ~ 2023-12-31,경기도 여주시,동자개,매입방류,88000,마리,0,,0,0,11000,0,11000,0,22000,0,0,22000,250,250,전장 4,0.8~1,기타 지자체사업,2023년 수산자원조성사업,손재호,031-887-2321,경기도 여주시 대신면 여양로 2037,미래양식장,126-91-93508,김미숙,여주시 북내면 신접2길 24,"여주시 관내 남한강(이포보, 여주보, 강천보) 일원에 동자개 88,000마리(22,000천원) 방류"
2023-11-09 ~ 2023-11-09,전북특별자치도 장수군,붕어,매입방류,90393,마리,0,,0,0,0,0,8280,0,8280,0,0,8280,100,100,,,기타 지자체사업,기타 지자체사업,최예선,063-350-2416,전북특별자치도 장수군 번암면 노단리 1591,,--,,,
2023-10-31 ~ 2023-10-31,전북특별자치도 장수군,곳체다슬기,매입방류,760000,마리,0,,0,0,14768,0,3692,0,18460,0,0,18460,25,26,,,지자체사업/수산종자관리사업,수산종자매입방류,최예선,063-350-2416,전북특별자치도 장수군 천천면 연평리 2222,,--,,,
2023-01-01 ~ 2023-12-31,제주특별자치도 해양수산연구원,홍해삼,생산방류,100000,마리,15,kg,0,0,40000,0,0,0,40000,0,0,40000,0,0,,0.1~1,지자체사업/수산종자관리사업,마을어장 자원조성 연구,강형철,064-710-8496,제주특별자치도 서귀포시 대정읍 가파리 581,,,,,
2023-01-01 ~ 2023-12-31,제주특별자치도 해양수산연구원,홍해삼,생산방류,100000,마리,15,kg,0,0,40000,0,0,0,40000,0,0,40000,0,0,,0.1~1,지자체사업/수산종자관리사업,마을어장 자원조성 연구,강형철,064-710-8496,제주특별자치도 제주시 구좌읍 월정리 1244-1,,,,,
2023-01-01 ~ 2023-12-31,제주특별자치도 해양수산연구원,홍해삼,생산방류,100000,마리,15,kg,0,0,40000,0,0,0,40000,0,0,40000,0,0,,0.1~1,지자체사업/수산종자관리사업,마을어장 자원조성 연구,강형철,064-710-8496,제주특별자치도 제주시 조천읍 함덕리 831-5,,,,,
2023-01-01 ~ 2023-12-31,제주특별자치도 해양수산연구원,홍해삼,생산방류,100000,마리,15,kg,0,0,40000,0,0,0,40000,0,0,40000,0,0,,0.1~1,지자체사업/수산종자관리사업,마을어장 자원조성 연구,강형철,064-710-8496,제주특별자치도 제주시 한경면 고산리 1882-2,,,,,
2023-01-01 ~ 2023-12-31,제주특별자치도 해양수산연구원,오분자기,생산방류,30000,마리,0,,0,0,42000,0,0,0,42000,0,0,42000,0,0,각장 2,1~2,지자체사업/수산종자관리사업,마을어장 자원조성 연구,강형철,064-710-8496,제주특별자치도 서귀포시 성산중앙로 58-1,,,,,
2023-01-01 ~ 2023-12-31,제주특별자치도 해양수산연구원,오분자기,생산방류,30000,마리,0,,0,0,42000,0,0,0,42000,0,0,42000,0,0,각장 2,1~2,지자체사업/수산종자관리사업,마을어장 자원조성 연구,강형철,064-710-8496,제주특별자치도 서귀포시 남원읍 태흥리 20-13,,,,,
2023-01-01 ~ 2023-12-31,제주특별자치도 해양수산연구원,오분자기,생산방류,30000,마리,0,,0,0,42000,0,0,0,42000,0,0,42000,0,0,각장 2,1~2,지자체사업/수산종자관리사업,마을어장 자원조성 연구,강형철,064-710-8496,제주특별자치도 서귀포시 표선면 가시리 2589,,,,,
2023-01-01 ~ 2023-12-31,제주특별자치도 해양수산연구원,오분자기,생산방류,30000,마리,0,,0,0,42000,0,0,0,42000,0,0,42000,0,0,각장 2,1~2,지자체사업/수산종자관리사업,마을어장 자원조성 연구,강형철,064-710-8496,제주특별자치도 제주시 하도1길 1,,,,,
2023-01-01 ~ 2023-12-31,제주특별자치도 해양수산연구원,오분자기,생산방류,30000,마리,0,,0,0,42000,0,0,0,42000,0,0,42000,0,0,각장 2,1~2,지자체사업/수산종자관리사업,마을어장 자원조성 연구,강형철,064-710-8496,제주특별자치도 제주시 남조로 2955,,,,,
2023-12-08 ~ 2023-12-08,강원특별자치도 삼척시 수산자원센터,대문어,무상방류,20000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,전장 1,,지자체사업/수산종자관리사업,지자체사업/수산종자관리사업,김방래,033-570-4459,강원특별자치도 삼척시 근덕면 장호리,,--,,,
2023-12-27 ~ 2023-12-27,강원특별자치도 삼척시 수산자원센터,해삼,무상방류,50000,마리,50,kg,0,0,0,0,0,0,0,0,0,0,0,0,,1~5,지자체사업/수산종자관리사업,기타,김방래,033-570-4459,강원특별자치도 삼척시 근덕면 장호리,,--,,,
2023-12-27 ~ 2023-12-27,강원특별자치도 삼척시 수산자원센터,해삼,무상방류,50000,마리,50,kg,0,0,0,0,0,0,0,0,0,0,0,0,,1~5,지자체사업/수산종자관리사업,기타,김방래,033-570-4459,강원특별자치도 삼척시 원덕읍 갈남리,,--,,,
2023-11-30 ~ 2023-11-30,강원특별자치도 삼척시 수산자원센터,해삼,무상방류,100000,마리,100,kg,0,0,0,0,0,0,0,0,0,0,0,0,,1~5,지자체사업/수산종자관리사업,기타,김방래,033-570-4459,강원특별자치도 삼척시 원덕읍 임원리,,--,,,
2023-05-23 ~ 2023-05-23,강원특별자치도 삼척시 수산자원센터,해삼,무상방류,50000,마리,50,kg,0,0,0,0,0,0,0,0,0,0,0,0,,1~5,지자체사업/수산종자관리사업,기타,김방래,033-570-4459,강원특별자치도 삼척시 근덕면 장호리,,--,,,
2023-04-04 ~ 2023-04-04,강원특별자치도 삼척시 수산자원센터,해삼,무상방류,150000,마리,150,kg,0,0,0,0,0,0,0,0,0,0,0,0,,1~5,지자체사업/수산종자관리사업,기타,김방래,033-570-4459,강원특별자치도 삼척시 근덕면 장호항길 115 ,,--,,,
2023-06-18 ~ 2023-06-18,한국수산자원공단 제주본부,말쥐치,매입방류,715238,마리,0,,309395,0,0,0,0,0,0,0,0,309395,433.4,537.2,전장 5.0,1.2~4.0,"국비사업(자율관리, 해양보호구역 등)",2022년도 제주도 쥐치류 산란서식장 조성사업,이은지,064-800-9722,제주시 판포리,,,,,
2023-11-27 ~ 2023-11-27,한국수산자원공단 제주본부,홍해삼,매입방류,44258,마리,71,kg,0,0,0,0,0,0,0,42000,0,42000,949,980.87,,,기타 지자체사업,농어촌상생협력기금사업_제주(삼양1) 연안수산자원 증대를 위한 홍해삼 매입방류,이은지,064-800-9722,제주시 삼양1동,,--,,,
2023-11-27 ~ 2023-11-27,한국수산자원공단 제주본부,홍해삼,매입방류,44258,마리,84,kg,0,0,0,0,0,0,0,42000,0,42000,949,980.87,,,기타 지자체사업,농어촌상생협력기금사업_제주(삼양3) 연안수산자원 증대를 위한 홍해삼 매입방류,이은지,064-800-9722,제주시 삼양3동,,--,,,
2023-11-26 ~ 2023-11-26,한국수산자원공단 제주본부,홍해삼,매입방류,44118,마리,57,kg,0,0,0,0,0,0,0,42000,0,42000,952,980.87,,,기타 지자체사업,농어촌상생협력기금사업_제주(신촌) 연안수산자원 증대를 위한 홍해삼 매입방류,이은지,064-800-9722,제주시 신촌리,,--,,,
2023-07-26 ~ 2023-07-26,한국수산자원공단 제주본부,말쥐치,매입방류,20000,마리,0,,0,0,10744,0,0,0,10744,0,0,10744,537.2,537.2,전장 5.0,0.6~10.1,지자체사업/수산종자관리사업,2023년도 제주도 쥐치류 산란서식장 조성사업,이은지,064-800-9722,제주시 금등리,,,,,
2023-07-04 ~ 2023-07-04,한국수산자원공단 제주본부,말쥐치,매입방류,651605,마리,0,,347957,0,0,0,0,0,0,0,0,347957,534,537.2,전장 5.0,0.7~1.4,"국비사업(자율관리, 해양보호구역 등)",2023년도 제주도 쥐치류 산란서식장 조성사업,이은지,064-800-9722,제주시 판포리,,,,,
2023-01-01 ~ 2023-12-31,강원특별자치도 속초시,강도다리,매입방류,61871,마리,0,,0,0,25200,0,4800,0,30000,0,0,30000,560.99,637.43,전장 6,,지자체사업/수산종자관리사업,수산종자매입방류,박단비,033-639-2416,강원특별자치도 속초시 동명동 53-3,아쿠아동방,--,박현자,,"2023년 수산종자(강도다리) 매입방류
 - 방류일자 : 2023. 8. 22.
 - 방류물량 : 53,477마리(아쿠아동방 / 대표 박현자)
 - 방류위치 : 속초항 연안해역"
2023-01-01 ~ 2023-12-31,강원특별자치도 속초시,해삼,매입방류,106428,마리,119,kg,0,0,50400,0,9600,0,60000,0,0,60000,568.42,586,,1~2,지자체사업/수산종자관리사업,수산종자매입방류,박단비,033-639-2416,강원특별자치도 속초시 영랑동 548-22,해동수산,--,권상우,,"2023년 수산종자(해삼) 매입방류
 - 방류일자 : 2023. 6. 28.
 - 방류물량 : 106,428마리(해동수산 / 대표 권상우)
 - 방류위치 : 장사항 연안해역"
2023-06-14 ~ 2023-06-14,강원특별자치도 속초시,쥐노래미,매입방류,17246,마리,0,,0,0,16800,0,3200,0,20000,0,0,20000,1400,1450.46,전장 5,,지자체사업/수산종자관리사업,수산종자매입방류,박단비,033-639-2416,강원특별자치도 속초시 대포동 728-6,금산,--,김영길,,"2023년 수산종자(쥐노래미) 매입방류
 - 방류일자 : 2023. 6. 14.
 - 방류물량 : 17,246마리(금산 / 대표 김영길)
 - 방류위치 : 외옹치항 연안해역"
